REF_DATE,GEO,DGUID,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2013,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2459426.0,,,,0
2014,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4093501.0,,,,0
2014,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1326612.0,,,,0
2014,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5998737.0,,,,0
2014,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1386828.0,,,,0
2014,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2507414.0,,,,0
2015,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4109712.0,,,,0
2015,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1337305.0,,,,0
2015,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,6045240.0,,,,0
2015,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1414010.0,,,,0
2015,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2544484.0,,,,0
2016,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4140425.0,,,,0
2016,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1358100.0,,,,0
2016,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,6125013.0,,,,0
2016,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1438160.0,,,,0
2016,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2582202.0,,,,0
2017,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4193207.0,,,,0
2017,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1384897.0,,,,0
2017,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,6217328.0,,,,0
2017,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1458336.0,,,,0
2017,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2616904.0,,,,0
2018,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4264846.0,,,,0
2018,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1411032.0,,,,0
2018,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,6337780.0,,,,0
2018,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1483528.0,,,,0
2018,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2658582.0,,,,0
2019,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4334308.0,,,,0
2019,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1438015.0,,,,0
2019,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,6462898.0,,,,0
2019,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1514426.0,,,,0
2019,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2709277.0,,,,0
2020,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4366487.0,,,,0
2020,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1462582.0,,,,0
2020,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,6543886.0,,,,0
2020,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1542956.0,,,,0
2020,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2743765.0,,,,0
2021,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4340642.0,,,,0
2021,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1474077.0,,,,0
2021,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,6547381.0,,,,0
2021,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1558588.0,,,,0
2021,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2764932.0,,,,0
2022,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4378796.0,,,,0
2022,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1498610.0,,,,0
2022,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,6685621.0,,,,0
2022,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1608342.0,,,,0
2022,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2842730.0,,,,0
